iter	RMSE
0	465472.5653
1	463598.4982
2	462147.9595
3	460343.0659
4	458585.9315
5	456843.6365
6	455134.5069
7	453444.2179
8	452158.9721
9	450493.4379
10	448823.7003
11	447890.0193
12	446303.2322
13	444725.1183
14	442446.405
15	440806.7261
16	439278.4889
17	438345.9199
18	436727.4959
19	435189.2906
20	433669.2818
21	432412.4746
22	430937.645
23	429480.3895
24	428047.9692
25	426639.3489
26	425261.7395
27	423135.9813
28	421229.3272
29	419362.6257
30	417355.72
31	416103.3982
32	414873.0393
33	413301.6999
34	412087.1224
35	410547.8763
36	408605.9637
37	407431.6633
38	406280.3262
39	405130.5065
40	404017.5742
41	402457.6973
42	400598.2051
43	399021.629
44	397494.7776
45	396494.7059
46	395407.4704
47	394319.5135
48	393248.2793
49	392215.7948
50	390692.6419
51	389681.9764
52	388183.6066
53	386734.7563
54	385745.4344
55	384774.1041
56	383343.72
57	382381.4924
58	380951.1582
59	379554.4745
60	378546.5845
61	377243.1191
62	376290.2792
63	375362.0739
64	374385.23
65	373406.1066
66	372459.2455
67	371520.831
68	369830.683
69	368928.4602
70	368036.5423
71	366632.443
72	365761.5157
73	364307.1565
74	363446.7471
75	362594.2455
76	361210.3974
77	360381.3798
78	359568.1751
79	358197.2205
80	357253.5315
81	356448.7997
82	355653.7916
83	354881.7933
84	84	266847.4685	85	264837.5786	86	263927.6187	350782.2364
88	88	262193.6689	347790.7369
990	260237.572
91	259355.8537992	258489.2145993	257671.0167994	256816.211295	342285.7526
996	254663.400197	340680.0697
98	339398.2507
99	251089.1463
100	337896.7081
101	248131.0857
102	336346.8576
103	335633.4915
104	245468.8838
105	244690.6475
106	243885.2716
107	242271.2098
108	241479.3731
109	240695.5616
110	239634.9421
111	238868.9713
112	328054.9108
113	237380.894
114	236342.3607
115	235565.4114
1116	323912.6645117	234023.3376
1118	322478.2902119	232256.5683
1120	320384.1005121	230515.4507
1122	318016.99821123	317240.58151124	316469.9641125	227367.6841
126	226673.0559
127	225925.2005
128	225187.519
129	224471.171
130	223789.6229
131131	309749.81132	222415.0178
133	221759.0986
134	221114.7384
13135	305881.79813136	305315.82313137	304088.418138	218450.3312
13139	302102.441140	216816.0265
141	216206.4602
142	215519.6684
14143	298928.622144	214247.6996
145	213584.5362
146	212986.0516
147	212406.5496
148	211832.9524
149	211277.781
150	210247.9875
151	209587.3289
152	207917.9966
153	207279.4822
154	206269.3026
155	205639.4286
156	204024.2586
157	203449.7592
158	202838.418
159	202280.9306
160	201733.7445
161	201115.245
162	200683.9062
163	200081.5173
164	199482.1689
165	198470.1129
166	166	281986.4167	167	280892.0168	168	279806.4169169	279225.73170170	278656.64171171	278209.1085
172	277690.5173	173	277134.1174	174	276065.4175	175	275014.5467
176	273984.1144
177	273437.0732
178	272910.1953
179	272372.180	180	271842.111
181	271324.0853
182	270817.0516
183	270312.6383
184	269274.76185185	268784.3959
186	268305.38187187	266939.3188	188	265925.368
189	265443.3488
190	264977.472
191	263628.0193
192	263126.7852
193	262666.0402
194	261652.2833
195	260659.5885
196	260205.751
197	259759.9385
198	259321.1031
199	258885.6564
200	258384.9701
201	257399.7973
202	256977.874
203	256481.2286
204	256065.6566
205	255659.4812
206	255261.1689
207	254776.9732
208	254386.8615
209	254004.2851
210	253628.5538
211	252648.0582
212	252278.314
213	251915.9937
214	250572.47
215	249600.619
216	249240.6263
217	248888.0252
218	248544.2107
219	248207.3487
220	247247.9912
221	246915.0826
222	246435.7856
223	246109.6221
224	245734.7303
225	245415.6023
226	244463.1364
227	243754.5074
228	243509.2653
229	242175.6074
230	241236.2933
231	240929.2657
232	240628.4868
233	239700.2523
234	238374.8594
235	237925.1421
236	237627.3582
237	237186.0051
238	236751.8286
239	236458.8362
240	235536.4523
241	235248.4815
242	234966.6277
243	234689.9445
244	233780.0849
245	232885.7636
246	232612.7213
247	231301.9719
248	230417.6509
249	229550.6272
250	229122.2054
251	227834.7027
252	226976.5492
253	225705.2241
254	224466.9759
255	223613.0141
256	223345.4373
257	222505.9315
258	222100.4779
259	220867.6973
260	220037.6238
261	219777.8785
262	218960.1155
263	218562.3004
264	218173.5672
265	217369.1643
266	216169.6268
267	215791.2056
268	215537.5281
269	215289.1882
270	214067.225
271	213264.5287
272	212896.6658
