iter	Passed	Remaining
0	2	2563
1	5	2597
2	7	2503
3	9	2391
4	11	2380
5	14	2436
6	16	2401
7	19	2375
8	21	2363
9	23	2363
10	26	2346
11	28	2326
12	30	2310
13	32	2285
14	34	2267
15	36	2258
16	38	2237
17	40	2229
18	42	2216
19	45	2208
20	47	2192
21	49	2179
22	51	2174
23	53	2164
24	55	2158
25	57	2153
26	59	2150
27	61	2143
28	63	2136
29	65	2130
30	68	2152
31	70	2143
32	72	2133
33	74	2122
34	76	2114
35	78	2111
36	80	2105
37	83	2103
38	84	2094
39	86	2080
40	88	2070
41	90	2056
42	91	2047
43	94	2047
44	96	2041
45	98	2039
46	100	2040
47	102	2034
48	104	2024
49	106	2019
50	108	2014
51	110	2005
52	112	2002
53	113	1996
54	115	1989
55	117	1984
56	119	1978
57	121	1973
58	123	1966
59	126	1978
60	128	1975
61	130	1968
62	131	1960
63	133	1955
64	135	1949
65	137	1944
66	139	1935
67	140	1929
68	142	1924
69	144	1919
70	146	1914
71	148	1910
72	150	1908
73	153	1918
74	155	1919
75	157	1916
76	159	1913
77	161	1910
78	163	1904
79	165	1900
80	167	1899
81	169	1895
82	171	1896
83	173	1893
84	176	1896
85	178	1896
86	180	1895
87	182	1894
88	185	1895
89	187	1896
90	189	1895
91	191	1893
92	193	1884
93	195	1883
94	197	1882
95	199	1879
96	201	1876
97	203	1875
98	206	1875
99	208	1874
100	210	1873
101	212	1871
102	214	1870
103	217	1874
104	220	1877
105	222	1877
106	224	1875
107	226	1872
108	228	1869
109	230	1866
110	232	1864
111	234	1862
112	237	1861
113	239	1858
114	241	1857
115	243	1855
116	245	1851
117	247	1848
118	249	1844
119	251	1840
120	253	1838
121	255	1835
122	257	1832
123	259	1830
124	261	1827
125	263	1825
126	265	1823
127	267	1821
128	269	1820
129	272	1825
130	274	1824
131	277	1822
132	279	1820
133	281	1821
134	284	1820
135	286	1819
136	288	1818
137	290	1816
138	293	1815
139	295	1814
140	297	1812
141	300	1817
142	303	1817
143	305	1817
144	307	1814
145	309	1811
146	311	1807
147	313	1805
148	315	1804
149	317	1800
150	319	1797
151150	337	18152	324	1795
153	326	1794
154	328	1793
155154	346	18156	333	1788
157156	350	18158	337	1783
159	339	1781
160159	356	18161	343	1777
162	345	1776
163	348	1775
164	350	1773
165	352	1772
166	355	1772
167	357	1771
168	359	1769
169	362	1769
170	364	1767
171	367	1767
172	369	1765
173	371	1763
174	373	1761
175	375	1758
176	377	1755
177	379	1753
178	382	1754
179	384	1751
180	386	1748
